PREFIXO: ;E3-056
NOME DO POSTO: ;SAO VICENTE
MUNICÍPIO: ;SAO VICENTE
CURSO D'ÁGUA: ;
LATITUDE: ;23°57'37"
LONGITUDE: ;46°21'53"
 
Obs: valores com --- representam dados inexistentes.
 
Dados de chuva (mm)
 
Mês/Ano;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;Chuva máxima;Chuva total
  10/1938;  0,0;  0,0;  3,4;  0,2;  0,4;  2,5;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,2;  1,8;  0,3;  1,1;  2,0;  0,3;  0,0;  1,1;  0,0;  0,0;  2,3;  0,0;  0,0;  0,0;  0,0;  0,0;102,0;0,0;0,0;102,0;117,6
  11/1938;  1,4;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  2,1;  0,0;  4,2;  6,3;  1,2;  4,2;  0,0;  0,0;  0,2;  0,0;  0,0;  0,0;  0,0;  0,3;  2,0;  0,0;  1,0;  0,6;  0,0;  2,0;  0,8;0,0;0,4;---;6,3;26,7
  02/1939;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0; 49,0; 51,0; 56,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0; 17,0;  0,0;  0,0; 45,0; 52,0; 53,0;  0,0;  0,0;  0,0;  0,0;---;---;---;56,0;323,0
  03/1939;  0,0;  5,0;  0,0;  0,0;  0,0;  0,0;  0,0; 32,0; 15,0;  0,0;  5,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0; 36,0; 16,0;  0,0; 30,0;  0,0; 10,0;  7,0;  0,0; 20,0;  0,0;6,0;42,0;62,0;62,0;286,0
  04/1939;  5,0;  0,0;  0,0;  0,0;  0,0;149,0; 20,0;  0,0;  0,0;  0,0;  0,0;  0,0; 21,0;  0,0;  0,0;  0,0;  9,0; 17,0; 16,6; 24,0; 12,0;  0,0;  0,0;  0,0;  0,0; 43,0;  0,0; 55,0;6,0;0,0;---;149,0;377,6
  05/1939;  0,0;  5,0; 20,2;  0,0; 22,0;  0,0;  0,0;  0,0; 33,0;  0,0;  0,0;  4,0;  4,0;  0,0; 14,0;  0,0;  0,0;  0,0; 14,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0; 13,0;  7,0;  0,0;0,0;3,0;3,0;33,0;142,2
  06/1939;  0,0;  0,0;  0,0; 15,0;  3,0;  7,0;  0,0;  0,0;  0,0;  0,0;  0,0; 14,0;  0,0;  0,0;  0,0;  3,0;  0,0;  3,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;0,0;0,0;---;15,0;45,0
  07/1939;  0,0;  0,0;  0,0;  4,0; 21,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  3,0;  0,0;  8,0; 10,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0; 18,0;  0,0; 20,0; 41,0; 34,0;  0,0;0,0;0,0;0,0;41,0;159,0
  08/1939;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  5,0; 17,0;  3,0;  0,0;  0,0;  0,0;  0,0;0,0;0,0;0,0;17,0;25,0
  09/1939; 41,0; 68,0; 10,2;  0,0;  0,0; 43,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0; 26,0;  3,0;  0,0;  4,0;  7,0;  1,0;  0,0;  0,0;  0,0;  0,0;  0,0;  1,2;  4,0;  0,5;  0,0;  0,0;0,0;1,1;---;68,0;210,0
  10/1939;  0,0;  0,0;  9,0;  0,0;  8,0; 12,4;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,6;  0,0;  0,0;  0,0;  0,0;  0,0;0,0;0,0;0,0;12,4;30,0
  11/1939;  0,0;  0,0;  1,0;  6,0;  2,0;  2,5;  0,0;  3,5; 24,5; 27,7; 12,5;  0,0;  0,7;  0,0; 12,0;  0,0; 16,5; 25,5;  0,0; 16,5; 17,0;  0,0;  6,5;  8,5;  8,3;  3,8; 18,7;  0,0;0,0;0,0;---;27,7;213,7
  12/1939;  0,0;  0,0;  0,0; 16,5;  3,0; 24,0;  4,0;  0,5; 16,0;  0,0;  0,0; 12,6; 19,6; 14,6;  8,0;  1,0;  0,0;  7,8;  0,0;  4,3;  0,0;  0,6;  0,4;  2,2;  8,0; 66,3; 27,4; 42,0;48,2;0,0;0,0;66,3;327,0
  01/1940;  0,0;  3,0;  0,0;  1,2;  0,0;  0,0; 25,0;184,0; 68,0;  1,0; 16,5;  1,0;  3,6;  7,5;  0,0;  0,0;  0,0;  2,1; 20,2;  1,5;  0,0;  0,0;  0,0;  0,0;  6,8;  4,8;  0,0;  0,0;0,0;0,0;12,0;184,0;358,2
  02/1940; 10,0;  0,0; 17,3;  0,0;  0,0;  0,0; 35,5; 14,0;  0,0;  0,0;  0,0;  0,0; 28,0; 51,5; 17,8; 63,5;  0,0;  0,0; 43,1;  9,8;  0,0;  3,4;  7,0;  5,1; 26,3;  0,0;  4,7;  0,0;3,7;---;---;63,5;340,7
