PREFIXO: ;E3-062
NOME DO POSTO: ;ENGENHEIRO FERRAZ (EFS)
MUNICÍPIO: ;SAO VICENTE
CURSO D'ÁGUA: ;CAPIVARI,R (07 - BAIXADA SANTISTA)
LATITUDE: ;23°59'00"
LONGITUDE: ;46°37'00"
 
Obs: valores com --- representam dados inexistentes.
 
Dados de chuva (mm)
 
Mês/Ano;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;Chuva máxima;Chuva total
  08/1939;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;0,0;0,0;3,2;3,2;3,2
  09/1939;  7,8;  9,0;  2,0;  0,8; 12,4;  0,2;  0,0;  0,0;  0,0;  0,0;  0,0;  0,2; 45,2;  3,3;  0,0;  0,6; 22,2;  4,4;  0,0;  0,0; 10,3;  0,0;  0,0;  2,4;  0,1;  0,0;  0,0;  0,0;1,0;4,2;---;45,2;126,1
  10/1939;  0,6;  3,1; 16,0;  0,2;  9,7; 26,7; 28,3;  0,0;  0,0;  0,0;  3,5;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0; 21,6; 12,5;  0,0;  0,0;  0,0;  0,0;0,0;0,0;0,0;28,3;122,2
  11/1939;  0,0;  0,0;  0,0;  1,6;  0,1;  5,6;  2,5;  3,5;  1,9;  2,7;  9,7;  0,0;  0,0; 32,6; 18,4;  2,5; 13,1;  0,1; 16,1;  9,1;  7,6;  9,2; 16,2; 10,5;  9,4;  2,0;  8,0;  1,3;0,0;0,0;---;32,6;183,7
  12/1939;  2,4;  0,0;  0,0;  6,1;  1,0;  2,4;  9,0;  4,0; 31,5;  0,0;  0,0; 21,6; 30,6; 32,4;  0,0;  0,0;  0,0;  0,5; 14,8;  4,1; 15,5;  0,0;  0,0; 11,0; 19,5; 20,1; 32,1; 30,5;36,5;0,0;1,7;36,5;327,3
  01/1940;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0; 30,9; 19,2; 77,3;  3,3; 22,2;  6,0; 41,3;  3,7;  0,0;  0,0;  0,0; 10,3;  4,5;  3,1;  0,0;  0,0;  0,0; 12,5;  0,0;  0,0;  0,0;  0,0;20,2;8,5;20,1;77,3;283,1
  02/1940; 13,5;  2,1;  2,1;  0,0;  0,0; 30,1; 30,5;  0,0;  0,0;  3,5; 21,1;  6,6;120,1; 22,5;  6,8;104,1;  1,1; 30,1; 44,5; 33,5; 15,5; 16,1;  2,0; 28,0;  2,5; 11,1;  0,3; 23,1;3,1;---;---;120,1;573,9
  03/1940;  0,1;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0; 78,0; 14,0;160,3; 30,0; 20,4;  0,1;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0; 28,7;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;8,0;79,0;59,0;160,3;477,6
  04/1940;  0,0;  0,0;  0,0;  0,0;  0,0; 94,1;  0,0;  0,0;  0,0; 36,0;  0,0; 40,3; 40,1; 18,0;  5,0;  3,0;  8,0;  1,0;  2,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  3,3;  0,0;  0,0;39,0;1,0;---;94,1;290,8
  05/1940;  0,0;  8,1; 56,5; 90,1;  3,1;  0,0; 45,7;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;1,1;0,0;0,0;90,1;204,6
  08/1940;  0,0;  0,0; 19,0;  3,0;  0,0;  0,0;  0,0; 35,5; 20,5;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0; 33,3; 20,0;  0,0;0,0;0,0;0,0;35,5;131,3
  09/1940;  0,0;  0,0;  0,0;  0,0;  1,0;  1,0;  0,0;  0,0;  0,0;  0,0;  0,0; 45,9;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0; 10,8; 10,1;  3,0;  6,0; 51,2; 19,0; 21,9;  0,0;0,0;0,0;---;51,2;169,9
  11/1940;  0,0;  0,0;  0,0;  0,0;  0,0; 16,0;  2,0;  2,0;  4,0; 13,5;  4,5;  1,0;  3,0;  4,5; 23,0; 16,0;  3,0;  1,0;  3,0;  0,0;  0,0;  0,0;  0,0;  0,0; 16,0;  5,5; 10,5;  7,0;4,0;0,0;---;23,0;139,5
  12/1940;  0,0;  0,0;  7,5;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  6,0;  2,0; 11,5;  2,0;  1,0;  2,0; 18,0;  1,0;  0,0;  2,0;126,0; 66,0; 40,5;  0,0;  0,0;  0,0;  0,0;2,0;1,0;1,0;126,0;289,5
  01/1941;  0,0;  5,5; 17,5; 13,0;  2,0;  0,0;  0,0;  0,0;  0,0;  1,5;  1,5;  0,0;  2,0; 46,0;  1,0; 10,5;  6,0;  4,0;  0,0;  0,0;  0,0;  0,0; 35,0; 56,0; 55,0;  1,0;  0,0;  0,0;0,0;0,0;0,0;56,0;257,5
  02/1941;  0,0;  0,0;  4,0;  0,5;  0,0;  0,3;  0,5;  0,0;  0,3;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  5,5;  8,2;  0,0;  0,0;  2,4;  0,1;  0,0;  2,7;  8,2;  2,0;  0,5;---;---;---;8,2;35,2
  03/1941;  8,7;  2,0;  0,5;  1,3;  0,2;  0,1;  6,2;  7,3;  3,3;  0,0;  0,0;  0,8;  0,0;  0,0;  0,0;  0,0;  0,0;  9,0;  2,3;  0,4;  1,0;  2,0;  4,4; 15,8;  1,7;  0,0;  4,2;  0,0;0,0;0,0;0,0;15,8;71,2
