PREFIXO: ;E3-063
NOME DO POSTO: ;PAI MATIAS (EFS)
MUNICÍPIO: ;SAO VICENTE
CURSO D'ÁGUA: ;CUBATAO,R (07 - BAIXADA SANTISTA)
LATITUDE: ;23°57'00"
LONGITUDE: ;46°32'00"
 
Obs: valores com --- representam dados inexistentes.
 
Dados de chuva (mm)
 
Mês/Ano;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;Chuva máxima;Chuva total
  01/1940;  1,7;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;195,8; 75,7; 13,8; 22,2;  0,0; 30,4;  0,0;  0,0;  0,0;  0,0;  0,0; 27,1;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;0,0;0,0;18,3;195,8;385,0
  02/1940;  0,0;  0,0; 60,0;  0,0;  0,0;  0,0; 23,9;  0,0;  0,0;  0,0;  0,0; 49,0; 53,3; 37,0; 50,4; 28,0;  0,0; 25,0; 22,0; 26,0;  0,0;  9,4;  9,9; 18,0; 16,0;  1,5; 25,0;  8,0;8,4;---;---;60,0;470,8
  03/1940;  1,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0; 43,0; 10,0;  0,0;145,6; 56,3;  9,3;  6,0;  0,0;  0,0;  7,0;  0,0;  5,0;  3,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;0,0;60,0;70,0;145,6;416,2
  04/1940;  0,0;  0,0;  0,0; 40,0;  3,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0; 37,0;  0,0;  0,0;  0,0;  0,0;  0,0;  2,5;  3,0;  3,0;  0,0;  0,0;  0,0; 60,0;  0,0;  0,0;  0,0; 30,0;20,0;0,0;---;60,0;198,5
  05/1940;  6,0; 10,0; 17,0;  0,0;  0,0; 60,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0; 15,5;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;0,0;0,0;0,0;60,0;108,5
  06/1940; 10,0;  6,0;  1,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  3,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0; 28,0;  2,0;  0,0;  0,0;  0,0;  0,0;0,0;9,0;---;28,0;59,0
  07/1940;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  9,0; 10,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  2,0;  3,0;  0,0;  0,0;  0,0;  0,0;  0,0;  9,0;90,0;0,0;0,0;90,0;123,0
  08/1940;  7,0;  5,0;  0,0;  0,0;  0,0;  0,0;  0,0; 20,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,2;  1,0; 10,5;  8,0;5,0;0,0;0,0;20,0;56,7
  09/1940;  9,5;  0,5;  0,0;  0,0;  0,0;  0,0;  1,1;  0,0;  0,0;  0,0;  0,0; 25,0; 10,5;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  2,0; 23,0; 18,0; 15,0; 96,0; 18,0; 18,0;  0,0;0,0;0,0;---;96,0;236,6
  10/1940;  0,0;  0,0; 17,0;  0,0;  0,0;  0,0;  0,0;  0,3;  0,8;  0,0;  1,8;  2,5;  1,1;  0,0;  0,0;  0,0;  0,0;  1,3;205,0;130,0; 15,0;  0,0;  0,0;  4,2;  7,0;  5,0; 23,2; 61,0;42,0;0,0;5,3;205,0;522,5
