PREFIXO: ;E3-064
NOME DO POSTO: ;SALES DA CRUZ
MUNICÍPIO: ;SAO VICENTE
CURSO D'ÁGUA: ;CUBATAO,R (07 - BAIXADA SANTISTA)
LATITUDE: ;23°55'00"
LONGITUDE: ;46°28'00"
 
Obs: valores com --- representam dados inexistentes.
 
Dados de chuva (mm)
 
Mês/Ano;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;Chuva máxima;Chuva total
  08/1939;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;  0,0;  0,0;  0,0;0,0;0,5;1,2;---;---
  09/1939; 11,7; 94,5; 26,6;  0,8;  4,9; 18,4;  0,0;  0,0;  4,2;  0,0;  2,3;  0,0;  0,0;  9,2;  7,4;  8,5;  3,2;  0,0;  1,0;  0,0;  0,0;  2,5;  0,0;  4,0;  2,5;  0,0;  0,0;  0,0;4,0;18,6;---;94,5;224,3
  10/1939; 23,3; 18,2;  0,8;  5,4; 28,4;  0,0;  0,0;  0,4;  1,0;  0,8;  0,0;  0,0;  0,0;  0,5;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,2;  0,4;  0,8; 10,1;  0,0;  0,0;  0,0;  0,0;0,0;0,0;0,5;28,4;90,8
  11/1939;  0,0;  0,0;  0,0;  1,2;  2,0;  1,5;  0,0;  4,0; 18,8; 40,2; 60,4; 31,5; 46,0; 28,0;  6,0;  5,0;  8,6;  5,4;  2,0;  1,8;  0,9;  4,5; 15,4; 12,0;  8,5; 10,3;  4,2;  0,0;0,0;0,0;---;60,4;318,2
  12/1939;  0,0;  0,0;  0,0; 20,4;  0,5; 10,4;140,0; 30,0; 55,0; 10,0;  0,0; 40,6; 40,0; 60,2;  5,0;  0,0;  9,6; 10,0; 20,2;  0,0;  0,8; 10,0; 12,4; 20,5; 40,9; 26,2; 12,6; 10,5;18,0;8,0;0,0;140,0;611,8
  01/1940; 10,2;  8,4;  0,0;  0,0;  0,0;  0,0;100,8; 91,0; 57,1; 68,2; 49,6; 10,7;  6,0;  0,0;  0,0;  0,0;  0,0;  0,0; 14,5;  1,0;  2,6;  0,0;  0,0;  0,0; 11,2; 14,4;  0,0;  0,0;0,2;0,0;0,0;100,8;445,9
  02/1940;  6,9;  3,2; 16,8;  4,5;  0,0;  0,0; 10,4; 20,5;  0,0;  0,0;  0,0; 18,0;  6,2; 15,7;  3,1;  1,6;  1,4; 20,2;  8,0; 14,4;  8,5; 10,4; 18,0;  6,0;  0,0;  0,4;  0,0;  0,0;0,0;---;---;20,5;194,2
  03/1940;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0; 20,2;  0,0; 80,5; 90,4; 43,0; 33,1; 60,9;  0,0;  0,0;  0,5;  0,8;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0; 15,4;21,0;60,2;102,7;102,7;528,7
  04/1940;  0,0;  0,0;  0,0;  0,0; 20,4;  0,0;  0,0; 12,5;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  7,7; 10,0;  0,0;  0,0;  0,0;  0,0;  1,9;  0,0;  0,0;  0,0;84,6;1,6;---;84,6;138,7
  05/1940;  0,0;  6,5; 24,2; 26,9;  0,0;  0,0;104,9;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0; 13,7;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;9,0;0,0;0,0;104,9;185,2
