PREFIXO: ;E3-065
NOME DO POSTO: ;GASPAR RICARDO (EFS)
MUNICÍPIO: ;SAO VICENTE
CURSO D'ÁGUA: ;BRANCO/BRANCO DA CONCEICAO,R
LATITUDE: ;23°58'00"
LONGITUDE: ;46°30'00"
 
Obs: valores com --- representam dados inexistentes.
 
Dados de chuva (mm)
 
Mês/Ano;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;Chuva máxima;Chuva total
  07/1939;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;  0,1;0,0;0,0;0,0;---;---
  08/1939;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,4;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  1,4; 50,4;  3,0;  0,0;  0,0;  0,0;  0,0;0,0;0,0;0,3;50,4;55,5
  09/1939; 10,0; 90,0; 13,4;  1,4; 10,0; 21,3;  0,0;  0,0;  0,0;  0,0;  0,0;  0,1; 40,7;  4,0;  0,0;  1,3;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,6;  0,8;0,2;7,3;---;90,0;201,1
  10/1939;  0,0;  1,3; 16,2;  3,0;  6,8; 24,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,3;  0,0;  0,0;  0,0;  0,0;  0,0;0,0;0,0;0,0;24,0;51,6
  11/1939;  0,0;  0,0;  0,3;  9,3;  0,0;  3,3;  0,0;  0,0; 20,0; 20,0; 10,0;  6,0;  9,3; 19,1;111,4;  8,0; 10,4;  8,4;  4,0; 10,0;  0,0;  0,4;  0,9; 10,4; 19,0; 20,0; 18,3; 10,0;1,3;0,0;---;111,4;329,8
  12/1939;  0,0;  0,0;  0,0;  0,3;  0,0; 70,5; 25,4; 50,4; 10,0;  5,8; 19,1;  4,3;  9,0; 90,8;  8,3; 19,1; 36,4;  9,3; 18,4;  1,0; 40,0; 10,6;  4,1; 10,6; 19,4; 35,2; 40,0;  9,3;18,2;0,0;0,0;90,8;565,5
  02/1940;  0,6; 10,4; 19,0; 40,0; 10,1;  1,4; 24,9;  4,0;  0,0;  0,0; 41,0; 37,4;162,1; 80,1; 29,0;  7,1;  2,0;  1,0; 44,1; 21,0; 49,0;  8,0; 10,1;  6,0;  0,0;  0,0;  6,9;  0,9;10,5;---;---;162,1;626,6
  03/1940;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0; 18,4; 32,4;  0,0;  0,0;  0,0;  0,0;  0,0; 20,3; 60,1;  4,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,1;  0,0;  0,0;  0,0;0,0;45,4;69,2;69,2;249,9
  04/1940;  0,0;  0,0;  0,0;  0,0;  0,0; 86,6;  0,0;  0,0;  0,1;  0,4;  0,9;  0,4; 60,3;  5,1;  2,4;  0,0;  0,0;  0,0;  8,0;  2,0;  3,1;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;39,7;3,5;---;86,6;212,5
  05/1940;  0,0;  0,0; 20,7; 19,4;  0,0;  0,0; 65,5;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;0,0;38,3;0,0;65,5;143,9
