PREFIXO: ;E3-066
NOME DO POSTO: ;GASPAR RICARDO
MUNICÍPIO: ;SAO VICENTE
CURSO D'ÁGUA: ;BRANCO/BRANCO DA CONCEICAO,R
LATITUDE: ;23°58'00"
LONGITUDE: ;46°30'00"
 
Obs: valores com --- representam dados inexistentes.
 
Dados de chuva (mm)
 
Mês/Ano;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;Chuva máxima;Chuva total
  03/1958;---;---;---;---;---;---;---;---;---;---;---;---;---;---; 15,1;  4,7;  1,0;  0,1;  3,1;  1,5;  0,4;  0,0;  0,0;100,9;168,6;  1,1;  0,0;  0,0;0,0;0,0;0,0;---;---
  04/1958;  1,2; 42,7;  0,0;  1,0;  0,0;  0,0;  0,0;  0,0;  0,0;  3,5;  7,1; 13,7;  0,0;161,8; 27,6;  4,1;  0,3;  0,0; 38,1; 93,1; 15,0;  0,9; 38,1;  5,3;  1,8;  0,0;  0,0;  0,0;0,0;0,3;---;161,8;455,6
  05/1958;  0,0;  0,0;  7,6; 14,6;  0,9; 16,1;  0,0;  2,6;  0,0;  0,0;  0,0;  0,0; 34,6; 31,3;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0; 19,4; 77,2; 11,3; 22,5;  7,8;  0,2; 21,2;1,0;0,0;0,0;77,2;268,3
  06/1958;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0; 11,9; 12,0;  0,0;  5,5; 19,0; 47,9;  5,3;  4,4;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;0,0;0,0;---;47,9;106,0
  07/1958;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0; 37,0;  1,0;  0,0;  0,0;  4,5;  0,0;  5,9;  0,9;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;0,0;0,0;0,0;37,0;49,3
  08/1958;  0,0;  0,0; 18,1;  0,7;  0,0;  0,0;  0,7;  0,0;  0,0;  0,0;  0,5;  1,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,2;  0,0;  0,0;  0,0;  5,5;  7,5;  0,0;  0,0;  0,0;  0,0;1,2;50,7;5,2;50,7;91,3
  09/1958;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;130,0; 93,5; 39,4;  1,8;  1,7; 21,8; 17,0;  2,3;  0,0;  0,0;  0,0;  0,5;  0,0;  0,0;  0,0;  0,0;  0,0;  6,2;  0,0;  0,2;  0,0;0,0;0,0;---;130,0;314,4
  10/1958;  0,2;  0,0;  0,3; 55,0; 54,0;  0,0; 51,7;  1,5;  0,0;  0,2;  8,1;  0,0;  4,4; 13,0;  3,3;  0,7;  0,0;  0,0; 15,0;  3,3;  0,0;  0,0;  0,0; 27,7;  6,5;  0,0; 22,2; 60,2;55,0;20,5;7,1;60,2;409,9
  11/1958; 99,3;  2,1;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0; 12,0;  4,2;  6,5;  0,5;  0,0;  0,0;  0,0; 48,3; 12,8;  0,0;  6,4;  0,0;  0,0; 10,0; 21,4;112,5; 11,7;  0,0;0,0;0,0;---;112,5;347,7
  12/1958;  0,0;  0,0;  0,0;  0,0;  0,0;  3,3; 43,4;  5,3;  9,2;  0,0;  2,3;  0,9;  2,2;  0,0;  0,0;183,6; 46,1;  3,2; 53,7; 25,0; 21,5;128,9; 11,0; 28,3;  4,0;  0,5;  0,0;  0,0;0,0;0,0;0,0;183,6;572,4
