PREFIXO: ;E3-228
NOME DO POSTO: ;HUMAITA
MUNICÍPIO: ;SAO VICENTE
CURSO D'ÁGUA: ;MARIANA,R
LATITUDE: ;23°57'16"
LONGITUDE: ;46°27'00"
 
Obs: valores com --- representam dados inexistentes.
 
Dados de chuva (mm)
 
Mês/Ano;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;Chuva máxima;Chuva total
  08/1939;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;0,0;0,0;---;---
  09/1939; 10,5; 42,4;  6,2;  2,4;  0,7; 22,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0; 31,6;  4,5;  0,0;  0,0;  8,2;  0,0;  0,5;  0,0;  0,0;  0,0;  0,0;  0,4;  4,8;  1,3;  0,0;  0,0;0,8;2,0;---;42,4;138,3
  10/1939;  0,7;  1,7; 12,0;  0,0;  5,0; 14,5;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;0,0;0,0;0,0;14,5;33,9
  11/1939;  0,0;  0,0;  0,0;  6,8;  3,3;  2,0;  5,3; 14,0; 18,4; 12,0; 15,4; 20,0; 25,0; 18,0;  0,0; 12,0; 18,4;  0,1;  0,0;  4,0;  2,0;  8,0;  0,2;  0,3; 10,0; 12,0;  8,0;  0,0;0,0;12,5;---;25,0;227,7
  12/1939;  3,0;  0,5;  3,5;  0,0; 37,6; 12,0;  0,0;  0,0;  0,0;  0,0; 38,4; 17,0;  0,0;  0,0;  0,0;  0,0;  7,0;  8,0;  5,0;  2,2;  0,0;  0,0;  0,0;  8,0; 63,1; 12,0; 42,0;  0,0;0,0;0,0;0,0;63,1;259,3
  01/1940;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;206,0; 43,2;  2,8;  7,2;  0,1;  8,4;  0,1;  0,0;  0,0;  0,0;  1,1; 22,1;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  9,0;  1,2;  0,0;0,0;0,0;0,0;206,0;301,2
  03/1940;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0; 57,4; 61,3; 49,2; 10,1;  7,1;  4,3;  6,4;  8,3;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  5,3;  0,0;  0,0; 10,3; 11,1; 23,2;46,3;28,5;4,9;61,3;333,7
  04/1940;  0,0;  0,0;  0,0; 11,3;  9,7;  8,6;  0,0;  0,0;  0,0;  0,0;  0,0; 20,5; 40,1;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,5;  0,0;  0,0;  0,3;  0,0;  0,0;  0,1;  0,0;  0,0;0,0;0,0;---;40,1;91,1
  05/1940;  0,0;  0,0;  0,0;  0,1;  0,0;  1,1;  0,0;  0,0;  0,0;  0,3;  0,1;  0,0;  0,0;  0,0;  0,0;  0,0;  3,1;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;0,0;4,5;3,6;4,5;12,8
  06/1940;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0; 53,3;  0,0;  0,0;  0,0;  0,0;0,0;0,0;---;53,3;53,3
  07/1940;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  6,4;  4,3;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  4,3;  0,0;  0,0;  8,6;  5,7;0,0;0,0;0,0;8,6;29,3
  08/1940;  0,0;  0,0;  0,0;  0,0;  0,3;  0,5;  0,2; 14,3; 24,0;  5,3;  0,0;  0,0;  0,0;  0,3;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,6;  0,3;  8,4;  9,3;0,0;0,0;0,0;24,0;63,5
  10/1940;  0,0;  0,0;  3,4;  2,1;  0,0;  0,0;  0,0;  0,0;  0,0; 19,8; 11,4; 37,4;  8,6;  0,7;  0,0;  0,0;  0,0;  2,1; 51,0; 16,1;  9,4;  6,3;  0,0;  0,0;  0,0;  5,1; 78,4; 14,1;19,8;8,3;7,4;78,4;301,4
  11/1940;  0,0;  0,0;  0,0;  0,0; 18,3; 28,6;  0,0;  0,0;  0,5;  0,0;  3,5;  6,2;  0,0;  8,7; 31,0; 52,1; 16,4;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,4;  5,6;  9,3;  8,8; 13,2;1,6;0,0;---;52,1;204,2
  12/1940;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  5,3; 17,6; 11,7;  0,0;  7,3;  0,0;  0,0;  0,0;  0,0;  0,0; 36,0; 18,0; 58,5;  0,0;  0,0;  0,0;  0,0;47,5;0,0;0,0;58,5;201,9
  01/1941;  7,9; 12,1;114,2;  1,0;  0,0;  0,0;  0,0;  0,0; 10,0; 17,5;  0,0;  0,0;  0,0;  0,0;  0,0;  6,0;  2,0;  0,0;  0,0;  0,0;  0,0; 14,6; 20,0; 41,2; 20,0;  0,0;  0,0;  0,0;0,0;0,0;0,0;114,2;266,5
  02/1941;  0,0; 80,1; 50,0;  0,0;  0,0; 36,5;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  4,6; 15,3; 14,1;---;---;---;80,1;200,6
  03/1941; 33,4; 86,5; 77,5; 50,0;  0,0; 30,2; 85,3; 10,2;  0,0;  0,0; 90,4; 40,6; 55,3; 15,4;  6,1;  0,0;  0,0;  0,0;  4,3; 18,5; 14,3; 33,5; 20,4;  7,3;  2,1;  0,5;  0,0;  0,0;0,0;3,2;0,0;90,4;685,0
  06/1941;  0,0;  0,0;  0,0;  0,7;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0; 36,5;  8,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0; 10,2;  0,0;  0,0; 26,0; 30,8;  0,0;0,0;0,0;---;36,5;112,2
  07/1941; 20,0; 21,5;  0,0;  0,0;  0,0;  0,0;  0,0; 12,0; 70,0; 60,0; 70,0;  0,0;  0,0;  0,0; 60,0; 26,6;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;2,6;0,0;0,0;70,0;342,7
  08/1941;  0,0;  0,0;  3,0; 10,4;  5,0; 12,6;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  5,7;  2,0; 20,0; 12,4;  0,0;  0,0;  0,0;  0,0;  1,0;  1,5;  0,0;  0,0;  0,0;0,0;0,0;0,0;20,0;73,6
  09/1941;  0,0;  0,0;  0,0; 38,6;  3,0;  0,8; 10,3;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  8,2;  8,6;  0,0;  0,0;  0,0;  0,0;  0,0;  5,4; 36,5;  3,0;  0,0;  8,4;  4,9; 26,5;  6,4;5,0;0,0;---;38,6;165,6
  10/1941;  4,3;  5,0;  0,0;  0,0;  0,0; 55,2;  8,3;  0,0;  3,6;  0,0; 17,3;  6,7;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;0,0;0,0;0,0;55,2;100,4
  11/1941; 26,8;  0,0;  0,0;  0,0;  0,0; 14,4; 40,0; 15,5; 21,3;  0,0;  0,0;  0,0; 14,8;  9,8;  0,0;  0,0; 51,6;  0,0;  2,2;  0,0;  0,0;  0,0;  5,0;  0,0;  0,0;  0,0; 22,3;  0,0;0,0;0,0;---;51,6;223,7
  01/1942;  0,0;  0,0;  0,0;  0,0;  0,0; 12,3;  2,7;  3,8;  0,0;  0,0;  6,0;  0,0;  0,0;  0,0;  0,0;  3,0;  0,0;  0,0;  0,0;  0,0;  7,0;  0,0;  0,0;  5,0; 70,8;  0,0;  0,0;  1,5;0,0;15,0;3,2;70,8;130,3
  02/1942; 20,0; 11,0; 12,5; 15,3;  9,0;  0,0;  0,0; 55,0;  0,0;  0,0;  8,0;  0,0;  0,0;  0,0;  0,0;  0,0;  9,2; 63,7; 90,3; 18,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;---;---;---;90,3;312,0
  03/1942;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  9,0;  0,0;  8,0; 10,2; 21,3;  7,0;  0,0;  9,0;  0,0; 86,0; 40,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  3,5;40,0;0,0;0,0;86,0;234,0
  04/1942;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0; 63,0; 12,4; 30,0; 35,3;  1,3;  0,0;  1,2;  0,0; 23,0; 34,5; 23,0; 15,1; 38,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;0,0;0,0;---;63,0;276,8
  05/1942;  0,0;  2,5;  0,0;  0,0;  5,0;  0,0;  3,0; 16,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  1,0;  0,0;  0,0;  0,0;  0,0; 16,0;  0,0;  0,0;  0,0;  0,0;  4,5;  0,0;  0,0;  4,0;0,0;1,0;0,0;16,0;53,0
  06/1942;  0,0;  0,0;  0,2;  0,0;  0,0;  0,0;  0,0;  0,0; 60,0; 12,4; 32,0;  0,0;  0,0;  0,0;  0,0; 32,1; 17,5; 30,0;  0,0;  0,0;  0,0;  2,9;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;0,0;0,0;---;60,0;187,1
  07/1942;  0,0;  0,0; 12,5; 43,0;  9,0;  0,0;  0,0;  0,0;  2,5; 31,5;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  5,3;  0,0;  0,0;  0,0;  2,0; 10,0;  0,0;  0,0;  0,0;  0,0;0,0;0,0;0,0;43,0;115,8
  08/1942;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  7,5;  3,5;  0,0;  0,0;  0,0;  0,0;  0,0; 22,5;  0,0;  0,0;  1,6;  1,0;  3,2; 18,0;  4,8;  0,0;0,0;0,0;0,0;22,5;62,1
  09/1942;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  4,8;  3,3;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  1,4; 18,8;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0; 11,8;  0,0;  4,8;  0,0;0,0;0,0;---;18,8;44,9
  10/1942;  0,0;  0,0; 12,0; 28,5;  0,0;  0,0;  0,0; 13,5;  2,0;  0,0;  0,0;  0,0;  0,0;  1,4;  0,0;  0,0; 28,0;  0,0;  0,0;  0,0;  0,0;  0,0;  9,7; 30,0; 11,5; 17,8;  0,0;  0,0;43,0;13,5;0,0;43,0;210,9
  11/1942;  0,0;  0,0;  5,0;  0,0;  0,0;  0,0;  0,0;  0,0;  4,8; 18,5;  0,0;  0,0;  3,5;  0,0;  0,0;  0,0;  0,0; 65,8; 35,0; 20,0; 23,9;  4,8; 16,0;  0,0;  0,0;  0,0;  0,0;  0,0;0,0;0,0;---;65,8;197,3
  12/1942; 52,0; 39,8; 26,0;  5,8;  2,5;  0,0;  0,0;  3,0;  0,0;  5,6;  0,0;  0,0;  0,0;  0,0; 69,8; 22,3;  0,0; 16,3;  0,0;  0,0;  0,0;  3,0;  8,2;  4,5;  0,0;  0,0;  0,0;  0,0;16,0;0,0;0,0;69,8;274,8
  01/1943;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0; 25,4;  0,0;  0,0;  0,0;  1,6;  0,0; 49,5; 25,5;  0,0;  0,0;  0,0; 13,5;130,0; 26,5;  4,6;  0,0;  0,0; 21,3;  0,0; 12,4;  3,3;1,5;28,0;14,0;130,0;357,1
  02/1943; 30,0; 28,8; 16,8; 17,0;  0,0;  0,0;  0,0;  0,0;  0,0;  3,2;  1,5;  0,0;  0,0;  0,0;  2,3; 20,0;  0,0; 10,4;  4,3;  0,0;  0,0;  0,0;  3,4;  0,0;  4,6;  4,2;  0,2;  1,0;---;---;---;30,0;147,7
  03/1943;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  5,3;  0,0;  2,0;  0,0;  0,0;  0,0;  2,5;  6,4; 50,0; 12,8;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;23,1;0,1;0,0;50,0;102,2
  04/1943; 29,5;  1,5;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  5,0;  0,0;  1,5;  0,0;  0,0;  0,0;  0,0;  1,5;  0,0;  0,0; 16,0; 13,0;0,0;0,0;---;29,5;68,0
  05/1943;  0,0; 12,5; 10,0;  0,0;  0,0;  0,0;  0,0;  0,0; 33,4;  0,0; 11,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,3;  5,5;  0,3;  0,0;  0,0;  0,0;0,0;0,0;86,3;86,3;159,3
